item_id,noun,det,construction,item_type,vp_set,sentence
c001,people,three,existential,critical,1,There were three people waiting in the lobby.
c002,people,three,agentive,critical,1,Three people waited in the lobby.
c003,people,three,existential,critical,2,There were three people sitting on the bench.
c004,people,three,agentive,critical,2,Three people sat on the bench.
c005,people,three,existential,critical,3,There were three people standing by the door.
c006,people,three,agentive,critical,3,Three people stood by the door.
c007,people,three,existential,critical,4,There were three people walking down the hall.
c008,people,three,agentive,critical,4,Three people walked down the hall.
c009,people,three,existential,critical,5,There were three people gathered near the entrance.
c010,people,three,agentive,critical,5,Three people gathered near the entrance.
c011,people,three,existential,critical,6,There were three people lined up outside.
c012,people,three,agentive,critical,6,Three people lined up outside.
c013,people,three,existential,critical,7,There were three people crowding around the table.
c014,people,three,agentive,critical,7,Three people crowded around the table.
c015,people,three,existential,critical,8,There were three people chatting in the kitchen.
c016,people,three,agentive,critical,8,Three people chatted in the kitchen.
c017,people,three,existential,critical,9,There were three people huddled by the fire.
c018,people,three,agentive,critical,9,Three people huddled by the fire.
c019,people,three,existential,critical,10,There were three people milling about in the corridor.
c020,people,three,agentive,critical,10,Three people milled about in the corridor.
c021,people,three,existential,critical,11,There were three people loitering near the gate.
c022,people,three,agentive,critical,11,Three people loitered near the gate.
c023,people,three,existential,critical,12,There were three people sheltering under the awning.
c024,people,three,agentive,critical,12,Three people sheltered under the awning.
c025,people,three,existential,critical,13,There were three people arguing in the hallway.
c026,people,three,agentive,critical,13,Three people argued in the hallway.
c027,people,three,existential,critical,14,There were three people sleeping on the floor.
c028,people,three,agentive,critical,14,Three people slept on the floor.
c029,people,three,existential,critical,15,There were three people eating lunch in the break room.
c030,people,three,agentive,critical,15,Three people ate lunch in the break room.
c031,people,three,existential,critical,16,There were three people reading in the waiting area.
c032,people,three,agentive,critical,16,Three people read in the waiting area.
c033,people,several,existential,critical,1,There were several people waiting in the lobby.
c034,people,several,agentive,critical,1,Several people waited in the lobby.
c035,people,several,existential,critical,2,There were several people sitting on the bench.
c036,people,several,agentive,critical,2,Several people sat on the bench.
c037,people,several,existential,critical,3,There were several people standing by the door.
c038,people,several,agentive,critical,3,Several people stood by the door.
c039,people,several,existential,critical,4,There were several people walking down the hall.
c040,people,several,agentive,critical,4,Several people walked down the hall.
c041,people,several,existential,critical,5,There were several people gathered near the entrance.
c042,people,several,agentive,critical,5,Several people gathered near the entrance.
c043,people,several,existential,critical,6,There were several people lined up outside.
c044,people,several,agentive,critical,6,Several people lined up outside.
c045,people,several,existential,critical,7,There were several people crowding around the table.
c046,people,several,agentive,critical,7,Several people crowded around the table.
c047,people,several,existential,critical,8,There were several people chatting in the kitchen.
c048,people,several,agentive,critical,8,Several people chatted in the kitchen.
c049,people,several,existential,critical,9,There were several people huddled by the fire.
c050,people,several,agentive,critical,9,Several people huddled by the fire.
c051,people,several,existential,critical,10,There were several people milling about in the corridor.
c052,people,several,agentive,critical,10,Several people milled about in the corridor.
c053,people,several,existential,critical,11,There were several people loitering near the gate.
c054,people,several,agentive,critical,11,Several people loitered near the gate.
c055,people,several,existential,critical,12,There were several people sheltering under the awning.
c056,people,several,agentive,critical,12,Several people sheltered under the awning.
c057,people,several,existential,critical,13,There were several people arguing in the hallway.
c058,people,several,agentive,critical,13,Several people argued in the hallway.
c059,people,several,existential,critical,14,There were several people sleeping on the floor.
c060,people,several,agentive,critical,14,Several people slept on the floor.
c061,people,several,existential,critical,15,There were several people eating lunch in the break room.
c062,people,several,agentive,critical,15,Several people ate lunch in the break room.
c063,people,several,existential,critical,16,There were several people reading in the waiting area.
c064,people,several,agentive,critical,16,Several people read in the waiting area.
c065,folks,three,existential,critical,1,There were three folks waiting in the lobby.
c066,folks,three,agentive,critical,1,Three folks waited in the lobby.
c067,folks,three,existential,critical,2,There were three folks sitting on the bench.
c068,folks,three,agentive,critical,2,Three folks sat on the bench.
c069,folks,three,existential,critical,3,There were three folks standing by the door.
c070,folks,three,agentive,critical,3,Three folks stood by the door.
c071,folks,three,existential,critical,4,There were three folks walking down the hall.
c072,folks,three,agentive,critical,4,Three folks walked down the hall.
c073,folks,three,existential,critical,5,There were three folks gathered near the entrance.
c074,folks,three,agentive,critical,5,Three folks gathered near the entrance.
c075,folks,three,existential,critical,6,There were three folks lined up outside.
c076,folks,three,agentive,critical,6,Three folks lined up outside.
c077,folks,three,existential,critical,7,There were three folks crowding around the table.
c078,folks,three,agentive,critical,7,Three folks crowded around the table.
c079,folks,three,existential,critical,8,There were three folks chatting in the kitchen.
c080,folks,three,agentive,critical,8,Three folks chatted in the kitchen.
c081,folks,three,existential,critical,9,There were three folks huddled by the fire.
c082,folks,three,agentive,critical,9,Three folks huddled by the fire.
c083,folks,three,existential,critical,10,There were three folks milling about in the corridor.
c084,folks,three,agentive,critical,10,Three folks milled about in the corridor.
c085,folks,three,existential,critical,11,There were three folks loitering near the gate.
c086,folks,three,agentive,critical,11,Three folks loitered near the gate.
c087,folks,three,existential,critical,12,There were three folks sheltering under the awning.
c088,folks,three,agentive,critical,12,Three folks sheltered under the awning.
c089,folks,three,existential,critical,13,There were three folks arguing in the hallway.
c090,folks,three,agentive,critical,13,Three folks argued in the hallway.
