rep,model,item_id,noun,det,construction,item_type,vp_set,sentence,raw_response,rating,timestamp
1,claude,fm09,NA,NA,NA,filler_mild,NA,The reason he gave for not attending sounded quite implausible to us.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:55.903042
1,claude,c037,people,several,existential,critical,3,There were several people standing by the door.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:55.959562
1,claude,c016,people,three,agentive,critical,8,Three people chatted in the kitchen.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.018794
1,claude,c125,folks,several,existential,critical,15,There were several folks eating lunch in the break room.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.076409
1,claude,c014,people,three,agentive,critical,7,Three people crowded around the table.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.143714
1,claude,fd04,NA,NA,NA,filler_degraded,NA,Them gave we the wrong directions to the hotel.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.212050
1,claude,fg01,NA,NA,NA,filler_good,NA,The children played in the yard all afternoon.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.279719
1,claude,c122,folks,several,agentive,critical,13,Several folks argued in the hallway.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.339044
1,claude,c104,folks,several,agentive,critical,4,Several folks walked down the hall.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.406799
1,claude,c020,people,three,agentive,critical,10,Three people milled about in the corridor.,"ERROR: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted""",,2026-03-30T17:33:56.470028
